gene,aINS_male,Cg25_male,dlPFC_male,Nac_male,OFC_male,Sub_male,GENENAME,SYMBOL,exclusive
ENSG00000013725,0,1,0,0,0,0,CD6 molecule,CD6,1
ENSG00000168000,0,1,0,0,0,0,"BSCL2 lipid droplet biogenesis associated, seipin",BSCL2,1
ENSG00000144278,0,1,0,0,0,0,polypeptide N-acetylgalactosaminyltransferase 13,GALNT13,1
ENSG00000198794,0,1,0,0,0,0,secretory carrier membrane protein 5,SCAMP5,1
ENSG00000133640,0,1,0,0,0,0,leucine rich repeats and IQ motif containing 1,LRRIQ1,1
ENSG00000166165,0,1,0,0,0,0,creatine kinase B,CKB,1
ENSG00000133067,0,1,0,0,0,0,leucine rich repeat containing G protein-coupled receptor 6,LGR6,1
ENSG00000118412,0,1,0,0,0,0,caspase 8 associated protein 2,CASP8AP2,1
ENSG00000187481,0,1,0,0,0,0,NA,NA,1
ENSG00000139675,0,1,0,0,0,0,heterogeneous nuclear ribonucleoprotein A1 like 2,HNRNPA1L2,1
ENSG00000215867,0,1,0,0,0,0,keratin 18 pseudogene 57,KRT18P57,1
ENSG00000135315,0,1,0,0,0,0,centrosomal protein 162,CEP162,1
ENSG00000065243,0,1,0,0,0,0,protein kinase N2,PKN2,1
ENSG00000203855,0,1,0,0,0,0,NA,NA,1
ENSG00000121989,0,1,0,0,0,0,activin A receptor type 2A,ACVR2A,1
ENSG00000009694,0,1,0,0,0,0,teneurin transmembrane protein 1,TENM1,1
ENSG00000177963,0,1,0,0,0,0,RIC8 guanine nucleotide exchange factor A,RIC8A,1
ENSG00000220563,0,1,0,0,0,0,pyruvate kinase M1/2 pseudogene 3,PKMP3,1
ENSG00000179611,0,1,0,0,0,0,diacylglycerol kinase zeta pseudogene 1,DGKZP1,1
ENSG00000129317,0,1,0,0,0,0,pseudouridine synthase 7 like,PUS7L,1
ENSG00000186577,0,1,0,0,0,0,small integral membrane protein 29,SMIM29,1
ENSG00000164074,0,1,0,0,0,0,abhydrolase domain containing 18,ABHD18,1
ENSG00000171944,0,1,0,0,0,0,olfactory receptor family 52 subfamily A member 5,OR52A5,1
ENSG00000105223,0,1,0,0,0,0,phospholipase D family member 3,PLD3,1
ENSG00000187416,0,1,0,0,0,0,LHFPL tetraspan subfamily member 3,LHFPL3,1
ENSG00000168539,0,1,0,0,0,0,cholinergic receptor muscarinic 1,CHRM1,1
ENSG00000167578,0,1,0,0,0,0,"RAB4B, member RAS oncogene family",RAB4B,1
ENSG00000135766,0,1,0,0,0,0,egl-9 family hypoxia inducible factor 1,EGLN1,1
ENSG00000075292,0,1,0,0,0,0,zinc finger protein 638,ZNF638,1
ENSG00000143393,0,1,0,0,0,0,phosphatidylinositol 4-kinase beta,PI4KB,1
ENSG00000166575,0,1,0,0,0,0,transmembrane protein 135,TMEM135,1
ENSG00000235141,0,1,0,0,0,0,NA,NA,1
ENSG00000267508,0,1,0,0,0,0,zinc finger protein 285,ZNF285,1
ENSG00000172059,0,1,0,0,0,0,Kruppel like factor 11,KLF11,1
ENSG00000149582,0,1,0,0,0,0,transmembrane protein 25,TMEM25,1
ENSG00000181220,0,1,0,0,0,0,zinc finger protein 746,ZNF746,1
ENSG00000071889,0,1,0,0,0,0,FAM3 metabolism regulating signaling molecule A,FAM3A,1
ENSG00000136770,0,1,0,0,0,0,DnaJ heat shock protein family (Hsp40) member C1,DNAJC1,1
ENSG00000153487,0,1,0,0,0,0,inhibitor of growth family member 1,ING1,1
ENSG00000189127,0,1,0,0,0,0,ankyrin repeat domain 34B,ANKRD34B,1
ENSG00000082805,0,1,0,0,0,0,ELKS/RAB6-interacting/CAST family member 1,ERC1,1
ENSG00000203780,0,1,0,0,0,0,fibronectin type III and ankyrin repeat domains 1,FANK1,1
ENSG00000115761,0,1,0,0,0,0,nucleolar protein 10,NOL10,1
ENSG00000113356,0,1,0,0,0,0,RNA polymerase III subunit G,POLR3G,1
ENSG00000116663,0,1,0,0,0,0,F-box protein 6,FBXO6,1
ENSG00000196961,0,1,0,0,0,0,adaptor related protein complex 2 subunit alpha 1,AP2A1,1
ENSG00000154479,0,1,0,0,0,0,cilia and flagella associated protein 210,CFAP210,1
ENSG00000198478,0,1,0,0,0,0,SH3 domain binding glutamate rich protein like 2,SH3BGRL2,1
ENSG00000236565,0,1,0,0,0,0,heterogeneous nuclear ribonucleoprotein A3 pseudogene 5,HNRNPA3P5,1
ENSG00000172171,0,1,0,0,0,0,"transcription elongation factor, mitochondrial",TEFM,1
ENSG00000142186,0,1,0,0,0,0,SCY1 like pseudokinase 1,SCYL1,1
ENSG00000127580,0,1,0,0,0,0,WD repeat domain 24,WDR24,1
ENSG00000215472,0,1,0,0,0,0,RPL17-C18orf32 readthrough,RPL17-C18orf32,1
ENSG00000141580,0,1,0,0,0,0,WD repeat domain 45B,WDR45B,1
ENSG00000185710,0,1,0,0,0,0,SMG1 pseudogene 4,SMG1P4,1
ENSG00000177200,0,1,0,0,0,0,chromodomain helicase DNA binding protein 9,CHD9,1
ENSG00000116251,0,1,0,0,0,0,ribosomal protein L22,RPL22,1
ENSG00000138180,0,1,0,0,0,0,centrosomal protein 55,CEP55,1
ENSG00000178015,0,1,0,0,0,0,G protein-coupled receptor 150,GPR150,1
ENSG00000174516,0,1,0,0,0,0,pellino E3 ubiquitin protein ligase family member 3,PELI3,1
ENSG00000170222,0,1,0,0,0,0,"ADP-ribose/CDP-alcohol diphosphatase, manganese dependent",ADPRM,1
ENSG00000091831,0,1,0,0,0,0,estrogen receptor 1,ESR1,1
ENSG00000180777,0,1,0,0,0,0,ankyrin repeat domain 30B,ANKRD30B,1
ENSG00000172969,0,1,0,0,0,0,FSHD region gene 2 family member C,FRG2C,1
ENSG00000070961,0,1,0,0,0,0,ATPase plasma membrane Ca2+ transporting 1,ATP2B1,1
ENSG00000213047,0,1,0,0,0,0,DENN domain containing 1B,DENND1B,1
ENSG00000109971,0,1,0,0,0,0,heat shock protein family A (Hsp70) member 8,HSPA8,1
ENSG00000205609,0,1,0,0,0,0,eukaryotic translation initiation factor 3 subunit C like,EIF3CL,1
ENSG00000074317,0,1,0,0,0,0,synuclein beta,SNCB,1
ENSG00000196498,0,1,0,0,0,0,nuclear receptor corepressor 2,NCOR2,1
ENSG00000164483,0,1,0,0,0,0,sterile alpha motif domain containing 3,SAMD3,1
ENSG00000172809,0,1,0,0,0,0,ribosomal protein L38,RPL38,1
ENSG00000084207,0,1,0,0,0,0,glutathione S-transferase pi 1,GSTP1,1
ENSG00000152208,0,1,0,0,0,0,glutamate ionotropic receptor delta type subunit 2,GRID2,1
ENSG00000153207,0,1,0,0,0,0,AT-hook containing transcription factor 1,AHCTF1,1
ENSG00000130204,0,1,0,0,0,0,translocase of outer mitochondrial membrane 40,TOMM40,1
ENSG00000135686,0,1,0,0,0,0,kelch like family member 36,KLHL36,1
ENSG00000139200,0,1,0,0,0,0,PILR alpha associated neural protein,PIANP,1
ENSG00000145826,0,1,0,0,0,0,leukocyte cell derived chemotaxin 2,LECT2,1
ENSG00000163596,0,1,0,0,0,0,islet cell autoantigen 1 like,ICA1L,1
ENSG00000242173,0,1,0,0,0,0,Rho GDP dissociation inhibitor gamma,ARHGDIG,1
ENSG00000124172,0,1,0,0,0,0,ATP synthase F1 subunit epsilon,ATP5F1E,1
ENSG00000184009,0,1,0,0,0,0,actin gamma 1,ACTG1,1
ENSG00000140873,0,1,0,0,0,0,ADAM metallopeptidase with thrombospondin type 1 motif 18,ADAMTS18,1
ENSG00000173567,0,1,0,0,0,0,adhesion G protein-coupled receptor F3,ADGRF3,1
ENSG00000112414,0,1,0,0,0,0,adhesion G protein-coupled receptor G6,ADGRG6,1
ENSG00000162618,0,1,0,0,0,0,adhesion G protein-coupled receptor L4,ADGRL4,1
ENSG00000106624,0,1,0,0,0,0,AE binding protein 1,AEBP1,1
ENSG00000057663,0,1,0,0,0,0,autophagy related 5,ATG5,1
ENSG00000139044,0,1,0,0,0,0,"beta-1,4-N-acetyl-galactosaminyltransferase 3",B4GALNT3,1
ENSG00000152611,0,1,0,0,0,0,calcyphosine like,CAPSL,1
ENSG00000291173,0,1,0,0,0,0,NA,NA,1
ENSG00000141570,0,1,0,0,0,0,chromobox 8,CBX8,1
ENSG00000134057,0,1,0,0,0,0,cyclin B1,CCNB1,1
ENSG00000107443,0,1,0,0,0,0,cyclin J,CCNJ,1
ENSG00000116815,0,1,0,0,0,0,CD58 molecule,CD58,1
ENSG00000166091,0,1,0,0,0,0,CKLF like MARVEL transmembrane domain containing 5,CMTM5,1
ENSG00000102879,0,1,0,0,0,0,coronin 1A,CORO1A,1
ENSG00000116133,0,1,0,0,0,0,24-dehydrocholesterol reductase,DHCR24,1
ENSG00000134516,0,1,0,0,0,0,dedicator of cytokinesis 2,DOCK2,1
ENSG00000100129,0,1,0,0,0,0,eukaryotic translation initiation factor 3 subunit L,EIF3L,1
ENSG00000240445,0,1,0,0,0,0,forkhead box O3B,FOXO3B,1
ENSG00000105255,0,1,0,0,0,0,fibronectin type III and SPRY domain containing 1,FSD1,1
ENSG00000226124,0,1,0,0,0,0,formiminotransferase cyclodeaminase N-terminal like,FTCDNL1,1
ENSG00000144591,0,1,0,0,0,0,GDP-mannose pyrophosphorylase A,GMPPA,1
ENSG00000102241,0,1,0,0,0,0,HIV-1 Tat specific factor 1,HTATSF1,1
ENSG00000110324,0,1,0,0,0,0,interleukin 10 receptor subunit alpha,IL10RA,1
ENSG00000148943,0,1,0,0,0,0,"lin-7 homolog C, crumbs cell polarity complex component",LIN7C,1
ENSG00000146006,0,1,0,0,0,0,leucine rich repeat transmembrane neuronal 2,LRRTM2,1
ENSG00000168067,0,1,0,0,0,0,mitogen-activated protein kinase kinase kinase kinase 2,MAP4K2,1
ENSG00000090971,0,1,0,0,0,0,N-acetyltransferase 14 (putative),"NAT14",1
ENSG00000178685,0,1,0,0,0,0,poly(ADP-ribose) polymerase family member 10,PARP10,1
ENSG00000174827,0,1,0,0,0,0,PDZ domain containing 1,PDZK1,1
ENSG00000183571,0,1,0,0,0,0,pyroglutamyl-peptidase I like,PGPEP1L,1
ENSG00000166428,0,1,0,0,0,0,phospholipase D family member 4,PLD4,1
ENSG00000163932,0,1,0,0,0,0,protein kinase C delta,PRKCD,1
ENSG00000204628,0,1,0,0,0,0,receptor for activated C kinase 1,RACK1,1
ENSG00000117602,0,1,0,0,0,0,RCAN family member 3,RCAN3,1
ENSG00000121039,0,1,0,0,0,0,retinol dehydrogenase 10,RDH10,1
ENSG00000137275,0,1,0,0,0,0,receptor interacting serine/threonine kinase 1,RIPK1,1
ENSG00000164610,0,1,0,0,0,0,RP9 pre-mRNA splicing factor,RP9,1
ENSG00000149273,0,1,0,0,0,0,ribosomal protein S3,RPS3,1
ENSG00000063015,0,1,0,0,0,0,seizure related 6 homolog,SEZ6,1
ENSG00000167447,0,1,0,0,0,0,SMG8 nonsense mediated mRNA decay factor,SMG8,1
ENSG00000250317,0,1,0,0,0,0,small integral membrane protein 20,SMIM20,1
ENSG00000077312,0,1,0,0,0,0,small nuclear ribonucleoprotein polypeptide A,SNRPA,1
ENSG00000162236,0,1,0,0,0,0,syntaxin 5,STX5,1
ENSG00000132604,0,1,0,0,0,0,telomeric repeat binding factor 2,TERF2,1
ENSG00000154096,0,1,0,0,0,0,Thy-1 cell surface antigen,THY1,1
ENSG00000145107,0,1,0,0,0,0,transmembrane 4 L six family member 19,TM4SF19,1
ENSG00000118271,0,1,0,0,0,0,transthyretin,TTR,1
ENSG00000140367,0,1,0,0,0,0,ubiquitin conjugating enzyme E2 Q2,UBE2Q2,1
ENSG00000167671,0,1,0,0,0,0,UBX domain protein 6,UBXN6,1
ENSG00000111186,0,1,0,0,0,0,Wnt family member 5B,WNT5B,1
ENSG00000198538,0,1,0,0,0,0,zinc finger protein 28,ZNF28,1
ENSG00000170579,0,0,1,0,0,0,DLG associated protein 1,DLGAP1,1
ENSG00000099960,0,0,1,0,0,0,solute carrier family 7 member 4,SLC7A4,1
ENSG00000165874,0,0,1,0,0,0,shieldin complex subunit 2 pseudogene 1,SHLD2P1,1
ENSG00000173598,0,0,1,0,0,0,nudix hydrolase 4,NUDT4,1
ENSG00000100138,0,0,1,0,0,0,small nuclear ribonucleoprotein 13,SNU13,1
ENSG00000141404,0,0,1,0,0,0,G protein subunit alpha L,GNAL,1
ENSG00000152672,0,0,1,0,0,0,C-type lectin domain family 4 member F,CLEC4F,1
ENSG00000167772,0,0,1,0,0,0,angiopoietin like 4,ANGPTL4,1
ENSG00000185689,0,0,1,0,0,0,protein MGC87625,C6orf201,1
ENSG00000147437,0,0,1,0,0,0,gonadotropin releasing hormone 1,GNRH1,1
ENSG00000116962,0,0,1,0,0,0,nidogen 1,NID1,1
ENSG00000163710,0,0,1,0,0,0,procollagen C-endopeptidase enhancer 2,PCOLCE2,1
ENSG00000056487,0,0,1,0,0,0,PHD finger protein 21B,PHF21B,1
ENSG00000174136,0,0,1,0,0,0,repulsive guidance molecule BMP co-receptor b,RGMB,1
ENSG00000167550,0,0,1,0,0,0,RHEB like 1,RHEBL1,1
ENSG00000116649,0,0,1,0,0,0,spermidine synthase,SRM,1
ENSG00000283453,0,0,0,1,0,0,"primase 2B, pseudogene",PRIM2BP,1
ENSG00000177051,0,0,0,1,0,0,F-box protein 46,FBXO46,1
ENSG00000161939,0,0,0,1,0,0,RNASEK-C17orf49 readthrough,RNASEK-C17orf49,1
ENSG00000172476,0,0,0,1,0,0,"RAB40A, member RAS oncogene family",RAB40A,1
ENSG00000182601,0,0,0,1,0,0,heparan sulfate-glucosamine 3-sulfotransferase 4,HS3ST4,1
ENSG00000277075,0,0,0,1,0,0,H2A clustered histone 8,H2AC8,1
ENSG00000198658,0,0,0,1,0,0,NA,NA,1
ENSG00000219814,0,0,0,1,0,0,ribosomal protein L23a pseudogene 47,RPL23AP47,1
ENSG00000183807,0,0,0,1,0,0,family with sequence similarity 162 member B,FAM162B,1
ENSG00000204287,0,0,0,1,0,0,"major histocompatibility complex, class II, DR alpha",HLA-DRA,1
ENSG00000135114,0,0,0,1,0,0,2'-5'-oligoadenylate synthetase like,OASL,1
ENSG00000184731,0,0,0,1,0,0,family with sequence similarity 110 member C,FAM110C,1
ENSG00000273802,0,0,0,1,0,0,H2B clustered histone 8,H2BC8,1
ENSG00000124208,0,0,0,1,0,0,PEDS1-UBE2V1 readthrough,PEDS1-UBE2V1,1
ENSG00000181819,0,0,0,1,0,0,NA,NA,1
ENSG00000221968,0,0,0,1,0,0,fatty acid desaturase 3,FADS3,1
ENSG00000144550,0,0,0,1,0,0,copine family member 9,CPNE9,1
ENSG00000132386,0,0,0,1,0,0,serpin family F member 1,SERPINF1,1
ENSG00000166257,0,0,0,1,0,0,sodium voltage-gated channel beta subunit 3,SCN3B,1
ENSG00000144868,0,0,0,1,0,0,transmembrane protein 108,TMEM108,1
ENSG00000103245,0,0,0,1,0,0,cytosolic iron-sulfur assembly component 3,CIAO3,1
ENSG00000162601,0,0,0,1,0,0,"Myb like, SWIRM and MPN domains 1",MYSM1,1
ENSG00000178719,0,0,0,1,0,0,glutamate ionotropic receptor NMDA type subunit associated protein 1,GRINA,1
ENSG00000132640,0,0,0,1,0,0,BTB domain containing 3,BTBD3,1
ENSG00000174996,0,0,0,1,0,0,kinesin light chain 2,KLC2,1
ENSG00000145715,0,0,0,1,0,0,RAS p21 protein activator 1,RASA1,1
ENSG00000006283,0,0,0,1,0,0,calcium voltage-gated channel subunit alpha1 G,CACNA1G,1
ENSG00000105711,0,0,0,1,0,0,sodium voltage-gated channel beta subunit 1,SCN1B,1
ENSG00000157214,0,0,0,1,0,0,STEAP2 metalloreductase,STEAP2,1
ENSG00000176697,0,0,0,1,0,0,brain derived neurotrophic factor,BDNF,1
ENSG00000162300,0,0,0,1,0,0,zinc finger protein like 1,ZFPL1,1
ENSG00000040608,0,0,0,1,0,0,reticulon 4 receptor,RTN4R,1
ENSG00000179603,0,0,0,1,0,0,glutamate metabotropic receptor 8,GRM8,1
ENSG00000162520,0,0,0,1,0,0,"syncoilin, intermediate filament protein",SYNC,1
ENSG00000073849,0,0,0,1,0,0,"ST6 beta-galactoside alpha-2,6-sialyltransferase 1",ST6GAL1,1
ENSG00000116991,0,0,0,1,0,0,signal induced proliferation associated 1 like 2,SIPA1L2,1
ENSG00000165804,0,0,0,1,0,0,zinc finger protein 219,ZNF219,1
ENSG00000205221,0,0,0,1,0,0,vitrin,VIT,1
ENSG00000121064,0,0,0,1,0,0,serine carboxypeptidase 1,SCPEP1,1
ENSG00000164294,0,0,0,1,0,0,glutathione peroxidase 8 (putative),GPX8,1
ENSG00000105204,0,0,0,1,0,0,dual specificity tyrosine phosphorylation regulated kinase 1B,DYRK1B,1
ENSG00000166558,0,0,0,1,0,0,solute carrier family 38 member 8,SLC38A8,1
ENSG00000156097,0,0,0,1,0,0,G protein-coupled receptor 61,GPR61,1
ENSG00000125656,0,0,0,1,0,0,caseinolytic mitochondrial matrix peptidase proteolytic subunit,CLPP,1
ENSG00000176383,0,0,0,1,0,0,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4",B3GNT4,1
ENSG00000106689,0,0,0,1,0,0,LIM homeobox 2,LHX2,1
ENSG00000203734,0,0,0,1,0,0,epithelial cell transforming 2 like,ECT2L,1
ENSG00000153395,0,0,0,1,0,0,lysophosphatidylcholine acyltransferase 1,LPCAT1,1
ENSG00000108219,0,0,0,1,0,0,tetraspanin 14,TSPAN14,1
ENSG00000230601,0,0,0,1,0,0,testis expressed 48,TEX48,1
ENSG00000143093,0,0,0,1,0,0,striatin interacting protein 1,STRIP1,1
ENSG00000159110,0,0,0,1,0,0,interferon alpha and beta receptor subunit 2,IFNAR2,1
ENSG00000143740,0,0,0,1,0,0,synaptosome associated protein 47,SNAP47,1
ENSG00000117632,0,0,0,1,0,0,stathmin 1,STMN1,1
ENSG00000277161,0,0,0,1,0,0,phosphatidylinositol glycan anchor biosynthesis class W,PIGW,1
ENSG00000104341,0,0,0,1,0,0,lysosomal protein transmembrane 4 beta,LAPTM4B,1
ENSG00000147457,0,0,0,1,0,0,charged multivesicular body protein 7,CHMP7,1
ENSG00000148832,0,0,0,1,0,0,polyamine oxidase,PAOX,1
ENSG00000265366,0,0,0,1,0,0,glutamate dehydrogenase 1 pseudogene 2,GLUD1P2,1
ENSG00000178404,0,0,0,1,0,0,CEP295 N-terminal like,CEP295NL,1
ENSG00000104976,0,0,0,1,0,0,small nuclear RNA activating complex polypeptide 2,SNAPC2,1
ENSG00000238227,0,0,0,1,0,0,transmembrane protein 250,TMEM250,1
ENSG00000198483,0,0,0,1,0,0,ankyrin repeat domain 35,ANKRD35,1
ENSG00000106236,0,0,0,1,0,0,neuronal pentraxin 2,NPTX2,1
ENSG00000160949,0,0,0,1,0,0,"tonsoku like, DNA repair protein",TONSL,1
ENSG00000101333,0,0,0,1,0,0,phospholipase C beta 4,PLCB4,1
ENSG00000248477,0,0,0,1,0,0,"NAIP pseudogene 3","NAIPP3",1
ENSG00000250687,0,0,0,1,0,0,NA,NA,1
ENSG00000008300,0,0,0,1,0,0,cadherin EGF LAG seven-pass G-type receptor 3,CELSR3,1
ENSG00000185885,0,0,0,1,0,0,interferon induced transmembrane protein 1,IFITM1,1
ENSG00000073150,0,0,0,1,0,0,pannexin 2,PANX2,1
ENSG00000225973,0,0,0,1,0,0,PIGB opposite strand 1,PIGBOS1,1
ENSG00000145757,0,0,0,1,0,0,spermatogenesis associated 9,SPATA9,1
ENSG00000061492,0,0,0,1,0,0,Wnt family member 8A,WNT8A,1
ENSG00000118972,0,0,0,0,1,0,fibroblast growth factor 23,FGF23,1
ENSG00000149532,0,0,0,0,1,0,cleavage and polyadenylation specific factor 7,CPSF7,1
ENSG00000134884,0,0,0,0,1,0,arginine and glutamate rich 1,ARGLU1,1
ENSG00000188878,0,0,0,0,1,0,Fas binding factor 1,FBF1,1
ENSG00000217128,0,0,0,0,1,0,folliculin interacting protein 1,FNIP1,1
ENSG00000137411,0,0,0,0,1,0,"valyl-tRNA synthetase 2, mitochondrial",VARS2,1
ENSG00000163016,0,0,0,0,1,0,ALMS1 pseudogene 1,ALMS1P1,1
ENSG00000154358,0,0,0,0,1,0,"obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF",OBSCN,1
ENSG00000188343,0,0,0,0,1,0,CBY1 interacting BAR domain containing 1,CIBAR1,1
ENSG00000117153,0,0,0,0,1,0,kelch like family member 12,KLHL12,1
ENSG00000104883,0,0,0,0,1,0,peroxisomal biogenesis factor 11 gamma,PEX11G,1
ENSG00000239887,0,0,0,0,1,0,chromosome 1 open reading frame 226,C1orf226,1
