ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,group
GO:0042773,ATP synthesis coupled electron transport,10/356,95/18723,1.311973119745828e-5,0.003700956900519367,3.53e-03,COX3/UQCRQ/UQCR11/SDHD/NDUFB2/COX7C/CHCHD2/PARK7/NDUFB10/COX6C,10,OFC_female
GO:0042775,mitochondrial ATP synthesis coupled electron transport,10/356,95/18723,1.311973119745828e-5,0.003700956900519367,3.53e-03,COX3/UQCRQ/UQCR11/SDHD/NDUFB2/COX7C/CHCHD2/PARK7/NDUFB10/COX6C,10,OFC_female
GO:0006119,oxidative phosphorylation,12/356,141/18723,1.6418404463433016e-5,0.004245525754169387,4.05e-03,COX3/UQCRQ/UQCR11/SDHD/ANTKMT/NDUFB2/COX7C/COX7B2/CHCHD2/PARK7/NDUFB10/COX6C,12,OFC_female
GO:0022618,ribonucleoprotein complex assembly,15/356,220/18723,2.1703603179094842e-5,0.005180483128056254,4.94e-03,RPS19/SART1/SF1/DHX30/EIF3A/RPL10/DDX39B/RPS14/RPL3/AGO4/EIF3G/SRSF5/RPL13A/SRPK3/YJU2,15,OFC_female
GO:0022613,ribonucleoprotein complex biogenesis,23/356,463/18723,2.9182024528050987e-5,0.006467987293610158,6.16e-03,RPL27/RPS19/NOP56/SART1/NOLC1/SF1/DHX30/EIF3A/RPL10/DDX39B/RPS7/RPP40/RPS14/RPL3/AGO4/EIF3G/SRSF5/RPL7A/C1QBP/RPL13A/RPL26/SRPK3/YJU2,23,OFC_female
GO:0071826,ribonucleoprotein complex subunit organization,15/356,227/18723,3.127877009566171e-5,0.006470534907122553,6.17e-03,RPS19/SART1/SF1/DHX30/EIF3A/RPL10/DDX39B/RPS14/RPL3/AGO4/EIF3G/SRSF5/RPL13A/SRPK3/YJU2,15,OFC_female
GO:1903311,regulation of mRNA metabolic process,17/356,288/18723,3.984445672827929e-5,0.007456575510489551,7.11e-03,SUPT5H/HNRNPA1/LARP1/NCL/SF1/RNPS1/POLR2G/TENT4A/HNRNPM/NBAS/SAFB/FUS/TNRC6B/C1QBP/TBRG4/SRPK3/RBM10,17,OFC_female
GO:0019646,aerobic electron transport chain,9/356,87/18723,4.085136438231465e-5,0.007456575510489551,7.11e-03,COX3/UQCRQ/UQCR11/SDHD/NDUFB2/COX7C/PARK7/NDUFB10/COX6C,9,OFC_female
GO:2001252,positive regulation of chromosome organization,8/356,82/18723,1.6545126184103776e-4,0.02852195919404112,2.72e-02,HNRNPA2B1/HNRNPA1/DNMT1/SFPQ/SETDB1/GTF2H2/SSBP1/SLX1A,8,OFC_female
GO:1902253,regulation of intrinsic apoptotic signaling pathway by p53 class mediator,5/356,29/18723,1.9707873358949942e-4,0.03218606896464299,3.07e-02,MARCHF7/ARMC10/UBB/RPS7/RPL26,5,OFC_female
